source_id,citation,source_type,evidence_type,source_file,page_ref,institutional_dimension,organizational_mechanism,outcome_dimension,geography,claim_summary,evidence_excerpt,direction,confidence,verification_status,notes
kreiner_svarer_2022_flexicurity,"Kreiner, C. T., & Svarer, M. (2022). Danish Flexicurity: Rights and Duties. Journal of Economic Perspectives, 36(4), 81-102.",academic article,comparative case,data/raw/policy/denmark/kreiner-svarer-2022-danish-flexicurity-rights-and-duties.pdf,2,social_protection;employment_protection;active_labor_market_policy,career_mobility;retraining,redeployment,denmark,"Denmark’s flexicurity model combines income support, active job search duties, and active labor-market policy to support transitions.","The article describes unemployed workers as having support rights and duties to search actively, take appropriate work, and participate in active labor-market policies.",improves,stronger,excerpt_verified,Kept as the broad Denmark case-preset row; related rows capture collective bargaining and unemployment benefits separately.
imf_denmark_ai_labor_2025,IMF (2025). Denmark selected issues / AI and labor market analysis.,international organization report,comparative case,data/raw/policy/denmark/IMF Country Reports_Denmark.pdf,11,workforce_development;social_protection,retraining;career_mobility,mobility,denmark,"Denmark’s flexicurity institutions and training capacity may support AI-related labor reallocation, while high-exposure groups still face displacement risk.","The IMF report states that Denmark’s flexicurity model facilitates labor reallocation and that flexibility, social security, training, and education support resilience.",improves,moderate,excerpt_verified,"Useful Denmark-specific bridge between AI exposure, institutions, and labor-market outcomes."
denmark_ai_collective_bargaining_sdu_2026,"Syddansk Universitet publication record (2026). Collective bargaining, algorithmic management and AI at work in Denmark.",publication record/report abstract,case evidence,"data/raw/policy/denmark/Collective bargaining, algorithmic management and AI at work in Denmark - Syddansk Universitet.pdf",1,collective_bargaining;ai_governance,worker_participation;algorithmic_management,job_quality,denmark,Denmark is a relevant case for AI at work because industrial relations and social dialogue shape labor-market regulation in a highly digitalized economy.,The publication abstract highlights Denmark’s digitalized labor market and the role of industrial relations and social dialogue in shaping regulation.,contextual,limited,excerpt_verified,Publication record/abstract only; keep confidence limited unless the full report is obtained.
puranam_human_ai_org_design,Puranam. Human-AI Collaborative Decision Making as an Organization Design Problem.,academic/working paper,theory,docs/sources/Human-AI Collaborative Decision Making as an Org Design Problem.pdf,3,not_applicable,task_allocation;division_of_labor,productivity,general,"Human-AI collaboration can be treated as an organization-design problem involving task division, allocation, and integration of effort.","Puranam describes organization design choices as division of labor, task allocation, and integration of effort in human-AI collaborative decision-making.",contextual,stronger,excerpt_verified,Supports derived human-AI work design mediator.
jain_garg_khera_hai_work_design,"Jain, Garg, & Khera. Effective human-AI work design for collaborative decision-making.",academic article,theory/qualitative finding,docs/sources/Effective human–AI work design for collaborative decision-making | Kybernetes | Emerald Publishing.pdf,1,not_applicable,task_allocation;division_of_labor;worker_participation,skill_accumulation,general,"Human-AI work design varies by division of labor, interdependence, specialization, and sequencing, affecting trust and role clarity.","The article says human-AI collaboration can occur in varied configurations of division of labor, interdependence, and specialization, with effects on trust and role clarity.",improves,moderate,excerpt_verified,Useful for deriving work-design patterns from organizational posture.
algorithms_as_work_designers_2021,Algorithms as work designers: How algorithmic management influences the design of jobs.,academic article,theory/empirical synthesis,docs/sources/Algorithms as work designers: How algorithmic management influences the design of jobs - ScienceDirect.pdf,1,ai_governance,algorithmic_management;job_redesign,job_quality,general,"Algorithmic management reshapes job design through functions such as monitoring, goal setting, scheduling, compensation, and performance management.","The article identifies algorithmic management functions including monitoring, goal setting, performance management, scheduling, compensation, and job termination.",mixed,moderate,excerpt_verified,Use for job-quality risks under automation-first or high-surveillance organizational posture.
mit_ai_work_redesign_playbook,MIT Sloan IWER. The AI Work Redesign Playbook.,applied research/playbook,practice guidance,docs/sources/The AI Work Redesign Playbook | Institute for Work and Employment Research | MIT Sloan.pdf,1,workforce_development,job_redesign;worker_participation;skill_investment,skill_accumulation,general,"AI’s effects depend on work redesign and implementation choices, including whether frontline workers have voice in those choices.","The playbook states that AI impact depends on design and implementation, while frontline workers often have little say in those decisions.",improves,moderate,excerpt_verified,Applied/practice source for work redesign and worker participation mechanisms.
etui_algorithmic_management_collective_bargaining_2021,ETUI (2021). Algorithmic management and collective bargaining.,policy/research report,policy analysis,data/raw/policy/social_dialogue/Algorithmic management and collective bargaining-web-2021.pdf,1,collective_bargaining;ai_governance,worker_participation;algorithmic_management,job_quality,europe,"Collective bargaining and regulation can address algorithmic management risks such as surveillance, discrimination, opacity, and loss of worker control.",The brief warns that invasive surveillance and discriminatory practices embedded in algorithmic management and AI systems are often underestimated.,decreases_risk,moderate,excerpt_verified,Complements ILO case rows with a bargaining-focused policy analysis.
uni_algorithmic_management_collective_action,UNI Global Union. Algorithmic Management: Opportunities for Collective Action.,union/policy report,practice guidance,data/raw/policy/social_dialogue/Algorithmic Management-Opportunities for Collective Action.pdf,3,collective_bargaining,worker_participation;algorithmic_management,job_quality,general,"Unions can contest algorithmic management by bargaining over surveillance, pace of work, transparency, consultation, health, and wages.","The guide says algorithmic management systems can raise productivity at the expense of workers’ health, privacy, and wages.",decreases_risk,moderate,excerpt_verified,Union/practice source; useful for collective-action and worker-voice rules.
frontiers_human_centered_ai_employee_participation_2024,Frontiers (2024). Human-centered AI through employee participation.,academic article,theory/policy analysis,data/raw/policy/social_dialogue/Human-centered AI through employee participation.pdf,1,ai_governance;collective_bargaining,worker_participation;job_redesign,job_quality,general,Employee participation and works-council co-determination can support more socially sustainable workplace AI implementation.,The article reports that employee participation and co-determination by the group works council promoted socially sustainable AI implementation.,improves,moderate,excerpt_verified,Strong worker-agency support source; generalizable with care because case is German telecommunications.
singapore_tjc_coordinated_ai_transition_2026,Singapore Ministry of Manpower (2026). Formation of Tripartite Jobs Council.,government/policy document,policy description,data/raw/policy/singapore/Formation of Tripartite Jobs Council.pdf,1,ai_governance;workforce_development;collective_bargaining,retraining;worker_participation;job_redesign,redeployment,singapore,"Singapore's tripartite AI response links enterprise workforce transformation, worker training, transition support, and public awareness.","This will be achieved through a comprehensive and coordinated tripartite approach in the following key areas: - Coordinated support for enterprise workforce transformation in tandem with AI adoption; - Broad-based and sectoral training for workers, as well as targeted transition support for at-risk worker segments and occupations to facilitate timely transitions; and - Building public awareness of AI and encouraging take-up of initiatives.",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_1601. Extracted text source: data/interim/pdf_text/data__raw__policy__singapore__Formation of Tripartite Jobs Council.txt.
singapore_tjc_job_redesign_reskilling_2026,Singapore Ministry of Manpower (2026). Formation of Tripartite Jobs Council.,government/policy document,policy description,data/raw/policy/singapore/Formation of Tripartite Jobs Council.pdf,2,workforce_development;employer_retraining,retraining;job_redesign,skill_accumulation,singapore,"Singapore's AI transition policy treats job redesign, reskilling, AI adoption, and capability building as connected workforce transformation challenges.","This will help companies to tackle key challenges in job redesign, such as reskilling, eﬀective AI adoption, and capability building.",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_1628. Extracted text source: data/interim/pdf_text/data__raw__policy__singapore__Formation of Tripartite Jobs Council.txt.
singapore_wdg_wage_retention_2026,Singapore Ministry of Manpower (2026). Response to Motion on AI.,government/policy document,policy description,data/raw/policy/singapore/Response to Motion on AI.pdf,3,workforce_development;employer_retraining,job_redesign,wages,singapore,Singapore's Job Redesign+ grant ties business transformation support to workforce outcomes including wage growth and retention.,"Today, businesses tapping on the Workforce Development Grant (Job Redesign+) are required to support workforce outcomes wage growth and retention as part of their transformation plans.",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_1703. Extracted text source: data/interim/pdf_text/data__raw__policy__singapore__Response to Motion on AI.txt.
singapore_skillsfuture_ai_readiness_2026,SkillsFuture Singapore (2026). Committee of Supply announcements.,government/policy document,policy description,data/raw/policy/singapore/SkillsFuture-Budget Announcements.pdf,1,workforce_development;public_investment,retraining;skill_investment,skill_accumulation,singapore,SkillsFuture plans AI readiness diagnostics and training support to help workers assess AI-related skills needs.,"Change text A- A+ Reset How to identify size: About SkillsFuture SkillsFuture Awards Events and Roadshows The SkillsFuture Collective Committee of Supply (COS) Announcements 2026 Home Budget Announcements COS Highlights 2026 During the Committee of Supply Debate 2026, the following key announcements were delivered: Enhancement of Support for AI Upskilling To help workers assess their AI readiness level and training needs, SkillsFuture Singapore (SSG) will develop a self-diagnostic AI readiness tool that can be accessed via the MySkillsFuture (MySF) portal, by 2Q 2026.",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_1856. Extracted text source: data/interim/pdf_text/data__raw__policy__singapore__SkillsFuture-Budget Announcements.txt.
singapore_skillsfuture_wsg_reskilling_2025,Civil Service College Singapore (2025). The Evolving SkillsFuture Movement.,government/policy article,policy synthesis,data/raw/policy/singapore/The Evolving SkillsFuture Movement: A Decade of Workforce Transformation.pdf,2,workforce_development,retraining;skill_investment;career_mobility,mobility,singapore,"Singapore's skills system combines individual skills development with employer-centric reskilling, employment, and career-development initiatives.","SSG has since Labour further advanced individual skills development and Movement training, while WSG has continued the former WDA's mandate in promoting employer-centric reskilling, Navigating the Uncharted employment, and career development initiatives.",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_1868. Extracted text source: data/interim/pdf_text/data__raw__policy__singapore__The Evolving SkillsFuture Movement: A Decade of Workforce Transformation.txt.
denmark_collective_bargaining_labor_conditions_2022,"Kreiner, C. T., & Svarer, M. (2022). Danish Flexicurity: Rights and Duties. Journal of Economic Perspectives, 36(4), 81-102.",academic article,comparative case,data/raw/policy/denmark/kreiner-svarer-2022-danish-flexicurity-rights-and-duties.pdf,3,collective_bargaining,worker_participation,wages,denmark,Denmark's labor-market model relies on collective bargaining to set core labor conditions such as wages and hours.,"The Danish Labor Market Collective Bargaining The Danish labor market model is the product of a long tradition of organized bargaining between workers and employers.1 In Denmark, collective negotiations between unions and employer organizations dating back to the so-called September Agreement of 1899 have decided key labor market conditions, like hourly wages and hours worked.",contextual,stronger,excerpt_verified,Added from priority evidence candidate cand_1411. Extracted text source: data/interim/pdf_text/data__raw__policy__denmark__kreiner-svarer-2022-danish-flexicurity-rights-and-duties.txt.
denmark_unemployment_benefit_security_2022,"Kreiner, C. T., & Svarer, M. (2022). Danish Flexicurity: Rights and Duties. Journal of Economic Perspectives, 36(4), 81-102.",academic article,comparative case,data/raw/policy/denmark/kreiner-svarer-2022-danish-flexicurity-rights-and-duties.pdf,4,social_protection,career_mobility,mobility,denmark,Denmark's unemployment benefit system provides relatively strong income security during labor-market transitions.,"Denmark is ranked near the top of high-income countries, both in terms of the maximum duration of unemployment benefits of two years and in terms of unem- ployment compensation, where the net replacement rate is 83 percent after three months of unemployment for people in the lower part of the wage distribution (rows 17–18).",improves,stronger,excerpt_verified,Added from priority evidence candidate cand_1423. Extracted text source: data/interim/pdf_text/data__raw__policy__denmark__kreiner-svarer-2022-danish-flexicurity-rights-and-duties.txt.
social_dialogue_algorithmic_management_impacts_2025,ILO (2025). Global case studies of social dialogue on AI and algorithmic management.,international organization report,case evidence,data/raw/policy/social_dialogue/Global case studies of social dialogue on AI.pdf,10,ai_governance;employment_protection,algorithmic_management,job_quality,general,"AI-based algorithmic management affects work quality by shaping monitoring, dismissal, incentive pay, promotion, hiring, scheduling, and training decisions.","Second, new AI-based tools are used in automated algorithmic management systems to man- age workers’ performance via monitoring, coaching, and decision-making around dismissals, in- centive pay, and promotions; as well as to automate decisions related to hiring, scheduling, and training.",increases_risk,moderate,excerpt_verified,Added from priority evidence candidate cand_2163. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__Global case studies of social dialogue on AI.txt.
social_dialogue_training_lifelong_learning_ai_2025,ILO (2025). Global case studies of social dialogue on AI and algorithmic management.,international organization report,case evidence,data/raw/policy/social_dialogue/Global case studies of social dialogue on AI.pdf,17,collective_bargaining;workforce_development,worker_participation;retraining;skill_investment,skill_accumulation,europe,"Social-dialogue agreements can include training, lifelong learning, ethical AI principles, and reskilling commitments around digitalization and AI.","A 2020 framework agreement in electricity between EPSU, IndustriAll, and Eurelectric includes commitments to joint actions on training and lifelong learning associated with digitalization, as well as strategies to prevent psychosocial risks.20 Also in 2020, the EU social partners in the telecom sector, UNI Europa ICTS and ETNO, signed a Joint Declaration on Artificial Intelligence, which outlines agreed principles concerning ethical AI and the need to prioritize investing in digital skills and training within the telecoms industry, in the tech and telecoms ecosystems, and through policy and gov- ernment action.21 More recently, EU social partners in the banking sector issued a 2024 EU Joint Declaration on Employment Aspects of Artificial Intelligence, which states that social dialogue, including collective bargaining, is important for managing risks and opportunities associated with AI i",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_2236. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__Global case studies of social dialogue on AI.txt.
social_dialogue_algorithmic_transparency_2025,ILO (2025). Global case studies of social dialogue on AI and algorithmic management.,international organization report,case evidence,data/raw/policy/social_dialogue/Global case studies of social dialogue on AI.pdf,21,ai_governance;collective_bargaining;employment_protection,worker_participation;algorithmic_management,job_quality,europe,"Algorithmic transparency rules and worker-representative information rights can govern AI systems that affect hiring, layoffs, worker profiles, and working conditions.","It was pioneering in recognizing platform-based food delivery couriers (“riders”) as em- ployees rather than independent contractors (under certain conditions), and requiring platforms to disclose information to riders on how algorithms and AI are used in hiring decisions, layoffs, worker profiles; and their impacts on working conditions – with requirements that worker rep- resentatives are informed of the algorithm’s ‘parameters, rules, and instructions’.50 Tripartite negotiations that lasted 5 months in Spain also contributed to revising the Workers’ Statute Law to incorporate the right to algorithmic transparency, which requires every type of plat- form to inform works councils about the inner workings of the algorithm ‘that may affect work- ing conditions, access to and maintenance of employment, including the creation of profiles.’51 In other cases, national agreements have establis",decreases_risk,moderate,excerpt_verified,Added from priority evidence candidate cand_2272. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__Global case studies of social dialogue on AI.txt.
social_dialogue_augmenting_ai_productivity_2025,ILO (2025). Global case studies of social dialogue on AI and algorithmic management.,international organization report,theory/case synthesis,data/raw/policy/social_dialogue/Global case studies of social dialogue on AI.pdf,34,collective_bargaining;ai_governance,augmentation;job_redesign,productivity,general,Social dialogue can encourage AI uses that augment labor and create higher-productivity tasks rather than only automating for short-term cost savings.,"31 ILO Working Paper 144 that ‘augment’ labor and complement skills - for example, through emphasizing worker choice in using tools to improve the quality of services, or restructuring production in a way that cre- ates new, high-productivity tasks.128 Economists Acemoglu and Restrepo observed in 2019 that corporate deployment of AI in the US was biased towards automation applications focused on short-term cost savings, generating risks of increasing unemployment and inequality as well as stagnating productivity.129 They also encouraged organizations and policymakers to take a different path - to capture the promise of the ‘right’ kind of AI associated with improved economic and social outcomes.",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_2380. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__Global case studies of social dialogue on AI.txt.
social_dialogue_productive_constraints_2025,ILO (2025). Global case studies of social dialogue on AI and algorithmic management.,international organization report,theory/case synthesis,data/raw/policy/social_dialogue/Global case studies of social dialogue on AI.pdf,12,collective_bargaining;employment_protection,worker_participation;skill_investment,distribution_of_gains,general,Minimum standards and collective bargaining can create productive constraints that discourage low-road strategies and support investment in skills and participation.,"Comparative research suggests that these alternatives were most consistently pursued where legislated minimum standards and collective bargaining institutions placed ‘productive constraints’ on employers - effectively closing off low road strate- gies, while supporting investments in skills and participation.7 The case studies discussed in this report can be read as different efforts across world regions and countries to establish a new set of ‘productive constraints’ that make it more difficult to pur- sue what Acemoglu and Restrepo describe as the ‘wrong kind of AI’ - focused on short-term cost savings, with risks of stagnating employment and productivity.8 Under what conditions have these efforts been most successful?",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_2186. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__Global case studies of social dialogue on AI.txt.
social_dialogue_labor_empowering_ai_2025,ILO (2025). Global case studies of social dialogue on AI and algorithmic management.,international organization report,policy analysis,data/raw/policy/social_dialogue/Global case studies of social dialogue on AI.pdf,31,ai_governance;collective_bargaining,worker_participation;algorithmic_management,job_quality,general,"Labor-empowering AI policies include human oversight, bias and harm protections, data rights, and AI-specific health and safety guidelines.","Laws and policies encouraging employers to adopt AI-based tools in a way that is ‘labor empowering’ include those that: ● require human oversight of AI-based decisions ● prohibit uses of AI tools with significant risks of bias or psychosocial harm ● strengthen data protection rights ● develop AI-specific health and safety guidelines and protections From labor displacing to embedding: AI-based technologies, including algorithmic manage- ment tools, should not be used by firms to expand worker precarity and undermine job quality through intensified subcontracting, relocation of jobs, or casualized contracts.",decreases_risk,moderate,excerpt_verified,Added from priority evidence candidate cand_2364. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__Global case studies of social dialogue on AI.txt.
social_dialogue_ai_transition_redeployment_2024,ILO (2024). Social Dialogue Report 2024.,international organization report,policy analysis,data/raw/policy/social_dialogue/ILO_Social_Dialogue_2024_Full-R11.pdf,158,collective_bargaining;workforce_development,worker_participation;retraining,redeployment,general,Social dialogue can help identify workers for retraining and coordinate adjustment packages when automation changes occupational demand.,"Peak-level social dialogue for an effective and inclusive twin transition 131 X Table 4.4 Involvement of employers and workers in skills policies for digital jobs The role of social dialogue Implications for Occupational changes skills Mutually beneficial Potential for cooperation objectives versus conflict Reduced demand for jobs Obsolescence of Package of How to identify incumbent due to automation of technical skills adjustments, including workers for retraining core tasks voluntary redundancy and redeployment versus compensation, training downsizing?",improves,moderate,excerpt_verified,Added from priority evidence candidate cand_4147. Extracted text source: data/interim/pdf_text/data__raw__policy__social_dialogue__ILO_Social_Dialogue_2024_Full-R11.txt.
senjic_bitsch_braun_2026_task_allocation,"Senjic, P., Bitsch, G., & Braun, A. (2026). Enabling Complexity: A Systematic Literature Review on Task Allocation, Communication, Interaction, and Augmentation in Human-AI Teams. Procedia Computer Science, 277, 2135-2144.",academic article,literature review,"docs/sources/Enabling Complexity: Task Allocation, Communication, Interaction, and Augmentation in Human-AI Teams.pdf",1,not_applicable,task_allocation;augmentation,productivity;job_quality,general,Human-AI team outcomes depend on how tasks are allocated and how AI support is integrated into team interaction.,"The review finds that structured task delegation, explainable and contextual communication, and alignment between AI augmentation and human intent enhance team performance and trust.",improves,stronger,excerpt_verified,Useful for deriving human-AI work design patterns rather than treating work design as a direct institutional variable.
senjic_bitsch_braun_2026_trust_transparency,"Senjic, P., Bitsch, G., & Braun, A. (2026). Enabling Complexity: A Systematic Literature Review on Task Allocation, Communication, Interaction, and Augmentation in Human-AI Teams. Procedia Computer Science, 277, 2135-2144.",academic article,literature review,"docs/sources/Enabling Complexity: Task Allocation, Communication, Interaction, and Augmentation in Human-AI Teams.pdf",7,ai_governance,human_oversight;augmentation,job_quality;productivity,general,"Trustworthy augmentation requires transparency, contextual communication, and alignment with human intent.","The review summarizes that human-AI teams benefit from structured task delegation, contextual communication, and well-aligned cognitive augmentation, while trust and transparency remain key challenges.",contextual,moderate,excerpt_verified,Supports scenario rules that distinguish meaningful augmentation from opaque automation.
ranjit_zhou_swayamdipta_quercia_2026_worker_agency,"Ranjit, J., Zhou, K., Swayamdipta, S., & Quercia, D. (2026). Are We Automating the Joy Out of Work? Designing AI to Augment Work, Not Meaning.",academic article/preprint,empirical finding,docs/sources/Are We Automating the Joy Out of Work - Designing AI to Augment Work Not Meaning.pdf.pdf,1,not_applicable,automation_first;job_redesign,job_quality,united_states,"AI-exposed tasks may include work that workers associate with agency or happiness, so automation can affect job meaning as well as efficiency.",The paper reports that tasks workers associate with agency or happiness may be disproportionately exposed to AI and argues that outcomes vary with how teams design AI systems.,increases_risk,moderate,excerpt_verified,Good evidence for worker-agency and job-quality outcomes in the scenario engine.
ranjit_zhou_swayamdipta_quercia_2026_design_contingency,"Ranjit, J., Zhou, K., Swayamdipta, S., & Quercia, D. (2026). Are We Automating the Joy Out of Work? Designing AI to Augment Work, Not Meaning.",academic article/preprint,empirical finding,docs/sources/Are We Automating the Joy Out of Work - Designing AI to Augment Work Not Meaning.pdf.pdf,15,not_applicable,augmentation;worker_participation;job_redesign,job_quality;skill_accumulation,united_states,"Worker-centered AI design should preserve autonomy, satisfaction, and quality when AI is introduced into meaningful tasks.","The paper frames research questions around whether workers first describing desired outputs affects perceived autonomy, satisfaction, and final quality in writing or design tasks.",improves,limited,excerpt_verified,"Useful but newer/preprint evidence, so keep confidence limited until reviewed more closely."
eu_ai_act_employment_high_risk_2024,European Union (2024). Artificial Intelligence Act.,law/regulation,policy requirement,docs/sources/EU AI Act.pdf,16,ai_governance;employment_protection,human_oversight;algorithmic_management,job_quality,europe,"The EU AI Act classifies AI systems used in employment and worker management as high-risk because they can affect recruitment, work conditions, promotion, termination, task allocation, monitoring, and evaluation.","AI systems used in employment, workers management and access to self-employment should be classified as high-risk when used for recruitment, terms of work, promotion, termination, task allocation, monitoring, or evaluation.",decreases_risk,stronger,excerpt_verified,Primary governance source for employment-related high-risk AI.
eu_ai_act_high_risk_requirements_2024,European Union (2024). Artificial Intelligence Act.,law/regulation,policy requirement,docs/sources/EU AI Act.pdf,19,ai_governance,human_oversight;transparency;risk_management,job_quality,europe,"High-risk AI systems are subject to requirements for risk management, data quality, documentation, record-keeping, transparency, human oversight, robustness, accuracy, and cybersecurity.","The Act states that high-risk AI systems must address risk management, data quality, technical documentation, record-keeping, transparency, information to deployers, human oversight, robustness, accuracy, and cybersecurity.",decreases_risk,stronger,excerpt_verified,Use to strengthen rules on rights-based AI governance and human oversight.
nyc_aedt_bias_audit_2021,New York City Council (2021). Automated Employment Decision Tools Law.,law/regulation,policy requirement,docs/sources/Automated Employment Decision Tools NYC.pdf,2,ai_governance;employment_protection,algorithmic_transparency;bias_audit,employment,nyc,NYC restricts employer use of automated employment decision tools unless the tool has undergone a recent bias audit and public disclosure requirements are met.,The law makes it unlawful to use an automated employment decision tool to screen a candidate or employee unless the tool has had a bias audit no more than one year prior and the audit summary is publicly available.,decreases_risk,moderate,excerpt_verified,Primary NYC governance source; useful for hiring and screening scenarios.
nist_ai_rmf_core_2023,NIST (2023). Artificial Intelligence Risk Management Framework (AI RMF 1.0).,risk-management framework,practice guidance,docs/sources/NIST.AI.100-1.pdf.pdf,25,ai_governance,risk_management;accountability;transparency,job_quality,general,"NIST frames AI governance as ongoing risk management organized around Govern, Map, Measure, and Manage functions.","The AI RMF Core provides outcomes and actions to manage AI risks and responsibly develop trustworthy AI systems through GOVERN, MAP, MEASURE, and MANAGE functions.",decreases_risk,moderate,excerpt_verified,"Primary risk-management framework; not labor-specific, so pair with labor sources for workplace outcomes."
